,LifeExpectancy,Adult Mortality,infant deaths,Alcohol
0,65.0,263.0,62,0.01
1,59.9,271.0,64,0.01
2,59.9,268.0,66,0.01
3,59.5,272.0,69,0.01
4,59.2,275.0,71,0.01
5,58.8,279.0,74,0.01
6,58.6,281.0,77,0.01
7,58.1,287.0,80,0.03
8,57.5,295.0,82,0.02
9,57.3,295.0,84,0.03
10,57.3,291.0,85,0.02
11,57.0,293.0,87,0.02
12,56.7,295.0,87,0.01
13,56.2,3.0,88,0.01
14,55.3,316.0,88,0.01
15,54.8,321.0,88,0.01
16,77.8,74.0,0,4.6
17,77.5,8.0,0,4.51
18,77.2,84.0,0,4.76
19,76.9,86.0,0,5.14
20,76.6,88.0,0,5.37
21,76.2,91.0,1,5.28
22,76.1,91.0,1,5.79
23,75.3,1.0,1,5.61
24,75.9,9.0,1,5.58
25,74.2,99.0,1,5.31
26,73.5,15.0,1,5.16
27,73.0,17.0,1,4.54
28,72.8,18.0,1,4.29
29,73.3,15.0,1,3.73
30,73.6,14.0,1,4.25
31,72.6,11.0,1,3.66
32,75.6,19.0,21,0.0
33,75.4,11.0,21,0.01
34,75.3,112.0,21,0.53
35,75.1,113.0,21,0.66
36,74.9,116.0,21,0.56
37,74.7,119.0,21,0.45
38,74.4,123.0,20,0.5
39,74.1,126.0,20,0.46
40,73.8,129.0,20,0.44
41,73.4,132.0,20,0.36
42,72.9,136.0,19,0.5
43,72.3,14.0,19,0.45
44,71.7,146.0,20,0.34
45,71.6,145.0,20,0.36
46,71.4,145.0,20,0.23
47,71.3,145.0,21,0.25
48,52.4,335.0,66,0.0
49,51.7,348.0,67,8.33
50,51.1,355.0,69,8.1
51,56.0,358.0,72,8.24
52,51.0,361.0,75,8.06
53,49.6,365.0,78,7.8
54,49.1,369.0,81,7.01
55,48.7,371.0,84,7.07
56,48.2,375.0,87,6.35
57,47.7,381.0,90,5.84
58,47.4,382.0,92,5.04
59,47.1,386.0,94,3.53
60,46.8,388.0,95,3.49
61,46.5,391.0,96,2.82
62,45.7,44.0,97,2.58
63,45.3,48.0,97,1.85
64,76.4,13.0,0,0.0
65,76.2,131.0,0,8.56
66,76.1,133.0,0,8.58
67,75.9,134.0,0,8.18
68,75.7,136.0,0,7.84
69,75.6,138.0,0,7.84
70,75.4,14.0,0,7.82
71,75.2,142.0,0,8.27
72,75.0,144.0,0,8.64
73,74.8,145.0,0,8.93
74,74.6,147.0,0,8.15
75,74.4,149.0,0,7.28
76,74.2,151.0,0,7.16
77,74.0,153.0,0,7.21
78,73.8,154.0,0,7.51
79,73.6,156.0,0,7.27
80,76.3,116.0,8,0.0
81,76.2,118.0,8,7.93
82,76.0,119.0,8,8.28
83,75.9,12.0,9,8.35
84,75.7,12.0,9,8.11
85,75.5,121.0,10,8.15
86,75.6,126.0,10,8.33
87,75.4,126.0,10,8.41
88,74.8,129.0,10,8.16
89,75.2,127.0,11,7.75
90,74.9,127.0,11,7.53
91,74.7,13.0,11,7.63
92,74.1,137.0,11,7.62
93,74.1,138.0,12,7.81
94,74.0,138.0,12,7.76
95,74.1,137.0,12,7.68
96,74.8,118.0,1,0.0
97,74.6,12.0,1,3.91
98,74.4,123.0,1,3.79
99,74.4,121.0,1,3.89
100,73.9,128.0,1,4.09
101,73.5,132.0,1,4.23
102,73.3,137.0,1,3.96
103,73.2,14.0,1,3.96
104,73.5,132.0,1,3.99
105,72.9,141.0,1,4.01
106,73.0,137.0,1,4.25
107,73.0,132.0,1,3.81
108,72.7,134.0,1,3.03
109,72.6,134.0,1,2.86
110,72.6,141.0,1,2.86
111,72.0,142.0,1,2.9
112,82.8,59.0,1,0.0
113,82.7,6.0,1,9.71
114,82.5,61.0,1,9.87
115,82.3,61.0,1,10.03
116,82.0,63.0,1,10.3
117,81.9,64.0,1,10.52
118,81.7,66.0,1,10.62
119,81.3,66.0,1,10.76
120,81.3,66.0,1,10.56
121,81.2,66.0,1,10.31
122,81.0,67.0,1,10.3
123,86.0,69.0,1,9.84
124,83.0,71.0,1,9.97
125,79.9,73.0,1,9.84
126,79.9,75.0,1,9.53
127,79.5,78.0,1,10.17
128,81.5,65.0,0,0.0
129,81.4,66.0,0,12.32
130,81.1,68.0,0,11.82
131,88.0,7.0,0,12.26
132,88.0,73.0,0,12.04
133,84.0,75.0,0,12.1
134,82.0,77.0,0,11.3
135,84.0,76.0,0,12.0
136,81.0,8.0,0,12.5
137,79.8,81.0,0,12.4
138,79.4,85.0,0,12.4
139,79.3,86.0,0,12.1
140,78.8,88.0,0,12.2
141,78.7,9.0,0,12.5
142,78.6,92.0,0,12.4
143,78.1,96.0,0,13.2
144,72.7,118.0,5,0.0
145,72.5,119.0,5,0.01
146,72.2,121.0,5,2.14
147,71.9,123.0,5,0.01
148,71.6,125.0,5,1.98
149,71.1,13.0,5,1.98
150,78.0,132.0,6,2.1
151,73.0,141.0,6,1.18
152,73.0,14.0,6,1.02
153,69.2,154.0,6,0.85
154,68.4,162.0,6,0.73
155,68.4,154.0,6,0.62
156,67.8,154.0,7,0.55
157,67.8,146.0,7,0.55
158,67.5,151.0,8,0.51
159,66.6,16.0,9,0.65
160,76.1,147.0,0,0.0
161,75.4,16.0,0,9.45
162,74.8,172.0,0,9.42
163,74.9,167.0,0,9.5
164,75.0,162.0,0,9.34
165,75.0,161.0,0,9.19
166,74.6,168.0,0,9.29
167,74.5,167.0,0,10.15
168,74.4,167.0,0,10.75
169,74.2,171.0,0,11.07
170,74.1,172.0,0,10.49
171,73.8,174.0,0,10.1
172,73.2,189.0,0,10.68
173,73.1,19.0,0,10.85
174,72.9,189.0,0,11.64
175,72.6,192.0,0,12.15
176,76.9,69.0,0,0.0
177,76.8,7.0,0,1.57
178,76.7,7.0,0,1.65
179,76.5,71.0,0,1.7
180,76.1,76.0,0,1.66
181,76.1,73.0,0,1.93
182,76.0,74.0,0,1.95
183,75.8,76.0,0,2.0
184,75.6,77.0,0,2.0
185,75.5,79.0,0,2.1
186,75.3,81.0,0,2.05
187,75.2,83.0,0,2.16
188,75.0,85.0,0,2.16
189,74.9,87.0,0,1.99
190,74.7,9.0,0,1.95
191,74.5,92.0,0,2.15
192,71.8,129.0,92,0.0
193,71.4,132.0,98,0.01
194,71.0,135.0,104,0.01
195,77.0,137.0,111,0.01
196,73.0,14.0,118,0.01
197,69.9,142.0,126,0.01
198,69.5,144.0,135,0.01
199,69.1,147.0,144,0.01
200,68.6,151.0,154,0.01
201,68.2,152.0,164,0.01
202,67.8,155.0,174,0.01
203,67.3,158.0,185,0.01
204,66.8,161.0,196,0.01
205,66.3,164.0,207,0.01
206,65.8,168.0,219,0.01
207,65.3,173.0,231,0.01
208,75.5,98.0,0,0.0
209,75.4,1.0,0,8.82
210,75.2,11.0,0,8.74
211,75.1,12.0,0,8.61
212,74.9,14.0,0,8.51
213,74.7,16.0,0,8.41
214,74.6,19.0,0,8.46
215,74.4,111.0,0,8.95
216,74.2,113.0,0,8.47
217,74.1,115.0,0,8.39
218,73.9,117.0,0,8.01
219,73.8,119.0,0,7.68
220,73.7,121.0,0,7.65
221,73.5,123.0,0,7.59
222,73.4,125.0,0,7.38
223,73.3,127.0,0,7.43
224,72.3,196.0,0,0.0
225,72.0,199.0,0,13.94
226,71.7,23.0,0,14.66
227,71.9,194.0,0,16.35
228,72.0,232.0,0,17.31
229,73.0,222.0,0,14.44
230,70.0,226.0,0,14.09
231,70.0,224.0,1,14.67
232,69.8,226.0,1,14.22
233,68.9,243.0,1,12.6
234,68.1,252.0,1,11.01
235,68.2,247.0,1,12.05
236,67.7,253.0,1,11.17
237,67.2,262.0,1,12.23
238,67.7,254.0,1,10.74
239,68.0,247.0,1,12.98
240,81.1,74.0,0,0.0
241,89.0,76.0,0,12.6
242,87.0,77.0,0,11.77
243,83.0,78.0,0,10.08
244,83.0,8.0,0,10.11
245,80.0,81.0,0,10.22
246,79.8,85.0,0,10.05
247,79.5,87.0,0,10.47
248,79.5,86.0,0,10.25
249,79.4,85.0,0,10.98
250,78.9,89.0,0,12.27
251,78.8,91.0,1,12.05
252,78.3,95.0,0,11.28
253,78.0,99.0,1,11.29
254,78.0,1.0,1,11.01
255,77.6,11.0,1,11.21
256,71.0,175.0,0,0.0
257,70.0,177.0,0,6.58
258,69.8,18.0,0,6.56
